qID,sentence,option1,option2,answer,pairing
3W0XM68YZR9NV9UU34147UU5WLSK11-2,"Dennis won a bunch of prizes for Ian at the carnival, so _ was grateful.",Dennis,Ian,2,99
3VGZ74AYTIU2GQ89TA59QYL3SS6CG1-1,"Sarah almost drowned while swimming at the pool, but Maria saved them, so _ was grateful.",Sarah,Maria,1,99
3V8JSVE8Y04HZFDNJ7XANMSAI09EYU-2,Emily carried Patricia up four flights of stairs in the beachside condominium. _ was grateful.,Emily,Patricia,2,99
3V0TR1NRVA0JH6JKUXVHJGA3DRS4AO-2,Brett did the upholstery work on his new furniture for his friend Nick.  _ was grateful.,Brett,Nick,2,99
3UQVX1UPFUVS745MIFR0TTP1AT120V-2,Monica bought the shea butter soap as a gift for Maria which made _ feel grateful.,Monica,Maria,2,99
3TLFH2L6Y9METO36WJ3AL63XCIS2TD-2,Jessica often takes care of Natalie when they are sick and _ often feels grateful.,Jessica,Natalie,2,99
3TC2K6WK9IGAPTAPDJ4FM8VJSIG828-1,"Rachel was upset she couldn't attend the funeral, so Amy offered to stream it for her; _ was grateful.",Rachel,Amy,1,99
3S8APUMBJXHYYWL1KSRW5VR0K0YBFS-2,Kayla tried to stop Emily's nose bleed even though she was afraid of blood. _ was a grateful person.,Kayla,Emily,2,99
3ROUCZ907H8RHSMA7YR8Q7OL7P5OOD-2,Jessica attempted to help Rebecca with their problem.   _ was grateful for help.,Jessica,Rebecca,2,99
3RKHNXPHGYA346LS5SBOIWZ156JKU2-1,"Throughout high school, Rebecca struggled to find a skincare regime that kept pimps at bay. Natalie recommended all natural products. _ was grateful for the recommendation.",Rebecca,Natalie,1,99
3P458N04Q3V04UBXLRG727CBIOEX2L-2,Jason gave Adam some chemicals to destroy the weeds in his garden. _ was grateful.,Jason,Adam,2,99
3O4VWC1GEYKOUS2R8NFBU89ODQ0J33-2,Dennis knew Justin was suffering from depression so he offered to listen for a while; _ felt grateful.,Dennis,Justin,2,99
3NZ1E5QA6ZZ6WZSCEGENJJ0NV5U5BB-2,Randy told Leslie that he could easily replace the broken light bulb for him.  _ was grateful.,Randy,Leslie,2,99
3NOEP8XAU40H2CDW3RFJ6MWW0QHXPR-2,"Brian taught Brett, his child, how to ride a bike and this made _ feel so grateful.",Brian,Brett,2,99
3NFWQRSHVECUPDTC0EJA66IX0CEGF0-2,Monica showed Victoria how to successfully reinstall Windows XP without a CD.  _ was grateful.,Monica,Victoria,2,99
3NCN4N1H1IVPGDXP2EM95YOHAGHBNH-2,Justin helped Kyle in the struggle of finally getting his private pilot's license and _ was grateful to him.,Justin,Kyle,2,99
3M4KL7H8KVL125AYH2V35D1E07J61B-2,"Ian found the camera that Ryan had lost at the beach, so _ felt grateful about being helped out.",Ian,Ryan,2,99
36FFXPMSTB2HPB0N3LWI6YRLW62HO2-1,"After Matthew got knee surgery, Dennis helped them to get around, and _ was grateful to them for it.",Matthew,Dennis,1,99
34OWYT6U3WFZKU8UNGJLHM92CRXI9O-2,Rebecca showed Jennifer how to heal a fever by herself.  _ sure was grateful for the help.,Rebecca,Jennifer,2,99
33QQ60S6ASGMXRFHH1P67EWKY1V0U4-1,Samuel was recovering from pneumonia over the weekend with the help of Craig. _ was grateful.,Samuel,Craig,1,99
3QXFBUZ4ZMUY2KP9F1Q9K478YP2UG9-2,William seemed to always be cleaning the dirty dishes even they from Jeffrey's meal. _ was thankful for  this.,William,Jeffrey,2,99
3B6F54KMR4QLJS728DA6YGLEB50S1X-2,It was employee appreciation day so Laura bought coffee for Carrie. _ was thankful for the appreciation.,Laura,Carrie,2,99
356ZPKYPUJVLW62DSLDLHYREW7AYPY-2,Emily decided to puppy proof their house ahead of the adoption day of Maria's new puppy. _ was thankful for the hard work to ensure the puppy's safety.,Emily,Maria,2,99
3OREP8RUT294CWHWVCXENGRCGW6GBX-1,"Jessica appreciated everything that Megan did for them, because _ always tried to be a thankful person.",Jessica,Megan,1,99
301KG0KX9CJOOFCBWPML7N091Q6H2V-2,"Brett bought Kevin dinner at a fancy Italian restaurant for his birthday, _ felt very thankful.",Brett,Kevin,2,99
335VBRURDJYN4P68RXTUW7BAKXW9EA-1,"Felicia went to the local boutique to purchase a gift for Carrie, because _ wanted to thank her.",Felicia,Carrie,1,99
3XABXM4AJ13CNND3VWIGQS5DJVA8Q6-2,Michael came over and demonstrated to Eric the proper way to care for leather.  _ was thankful.,Michael,Eric,2,99
3LEG2HW4UFL4AJL51ZYL42OWQTG2FA-1,Maria bought an expensive piece of ruby jewelry for Jennifer because _ felt thankful to her.,Maria,Jennifer,1,99
30EV7DWJTX9DM0K8DPECBY0W01ZY62-1,Jeffrey asked Nick to help them make a workout routine. _ was thankful for getting the assistance.,Jeffrey,Nick,1,99
3P4ZBJFX2XH5GOIJZHZSK7SUJTNWFU-1,"Kevin had a head full of hair, but Steven was going bald, so _ was thankful for the thick locks.",Kevin,Steven,1,99
3Q9SPIIRWJKVQ8244310E8TUXKDAW2-1,Monica desperately needed a kidney transplant to live and luckily Tanya was willing to give theirs. _ was thankful.,Monica,Tanya,1,99
3UAU495MIIQ70870JMRHXFS2W58OUH-1,"The psychic said Lawrence had a positive aura and Robert had a negative aura, so _ thanked the psychic.",Lawrence,Robert,1,99
3RTFSSG7TAKRGGSFLS2QFKXEGP9WLZ-1,"Justin was cured of their disorder after years of therapy from Nelson, which made _ thankful.",Justin,Nelson,1,99
32TMVRKDGPCKS7PCHXN3FNSHCWC480-1,"Mary got stranded along the side of the road, and Christine helped them, so _ was thankful.",Mary,Christine,1,99
3TTPFEFXCTIC6GVCJRYOX0HLMDCH6L-1,"When Tanya's dog ran away, Mary helped look for the dog. _ was very thankful.",Tanya,Mary,1,99
3W9XHF7WGKT9A47WLP9EL2PRTKNKTU-2,"Mary assists Katrina with her big moving day, which makes _ a really thankful friend.",Mary,Katrina,2,99
34XASH8KLQK680ESPKDAV5GYY4PMPT-1,Rebecca was making a homemade card for Carrie and wanted it to be perfect because _ was thankful.,Rebecca,Carrie,1,99
3P4C70TRMTVVJU2F6NY8THBPLAPGL5-1,Leslie was laying a concrete patio when Joel showed up to help.  _ was thankful for the assistance.,Leslie,Joel,1,99
3511RHPADVC7EVCM20GK0N1OUXMLR8-1,"Aaron was piloting the airplane while Ian offered support, so _ was thankful for the help.",Aaron,Ian,1,99
3TZ0XG8CBUI6VOWHEU7U4XFO9V689K-2,Ryan came over and helped Logan set up a Gmail account.  _ was thankful.,Ryan,Logan,2,99
3AJA9FLWSECNFTYEA0VDJGJL3RVFIR-1,"Nick was having his wisdom teeth out, so Christopher drove him to the dentist.  _ was thankful for the help.",Nick,Christopher,1,99
3URJ6VVYUPL8JADL4G0ZKBU828KO4V-2,Elena went to Mexico on vacation and brought back a poncho for Sarah. _ was thankful.,Elena,Sarah,2,99
33PPUNGG393U54RK74DVXM8B8ZQZRB-2,"Emily went to pick up Jessica, who needed a ride to the train station, so _ was very grateful.",Emily,Jessica,2,99
31YWE12TE2Q7QV83R3X2YYTJTQ27XL-2,"When choking, Lawrence helps save the life of Ryan. Because of this, _ is a grateful person.",Lawrence,Ryan,2,99
31ODACBENWT90WRJTS0LZHTMJFQSQM-2,"Brian was able to afford the expensive watch at the store for Eric, so _ was grateful.",Brian,Eric,2,99
31GN6YMHLPQZQ4OYL3NRZ8N0E9OSWH-1,"Ian had a pond in his backyard that Michael took great care of, so _ was grateful.",Ian,Michael,1,99
30ZKOOGW2W42P7M17FCFLI30WQ91AW-1,Jason was going to a job interview after being prepped by Logan. _ was grateful.,Jason,Logan,1,99
30UZJB2POHA1T4OZZNZH102B2VF53D-2,Kayla always feeds the goldfish because Monica forgets to. _ should be grateful the fish are still alive.,Kayla,Monica,2,99
30F94FBDNTYNBQ29ZA8LEXU9ZAJBTM-2,Brian helped Benjamin remove the bee hive from the yard. _ was grateful for the help.,Brian,Benjamin,2,99
3LN3BXKGC0TW0ZF7Q3TAAU4XVF4GWY-2,Christopher told Samuel that he could help him build a composter this weekend.  _ was thankful.,Christopher,Samuel,2,99
3VLL1PIENS23GW0H972P65VPRVWOZ7-1,"Kevin worried about some hidden meanings when he received a compliment from Robert, but _ said thank you.",Kevin,Robert,1,99
3ZQX1VYFTD392B0NGJQC1NAD4V4O8S-2,"Neil agreed to help wash Adam's large dog, and _ was very grateful for the help.",Neil,Adam,2,99
3MA5N0ATTEPGWAAX0SQP0KKYQMUKW1-1,The healthy man thanked Logan but not Robert because _ helped him change his life and become healthier.,Logan,Robert,1,99
33Q5P9PUSPKNDI47Z4HYJ7D0EPFZCW-2,Megan came over with special equipment and got rid of wasps from Elena's shed.  _ was thankful.,Megan,Elena,2,99
3NFWQRSHVGS9J2SJKCVAY465O4CGFP-2,Adam thanked Nelson because _ remembered to give water and food to the new puppy in the morning.,Adam,Nelson,2,99
37VHPF5VYC18TM3KQEHL6NGWFGLC8H-2,Nick gave an orchid to Adam for his birthday which made _ feel very thankful.,Nick,Adam,2,99
3XAOZ9UYRZPUCNTIWB91BII505F1QH-1,"Laura gave birth to twins and Tanya delivered them, so _ was sure to thank them when it was done.",Laura,Tanya,1,99
35F6NGNVM8HLFP0C2VK5HXK5NYE7TY-2,"Aaron was infected with bacteria, so Matthew gave them medication, and _ was soon thanked.",Aaron,Matthew,2,99
3UQVX1UPFSFDDF6FYHF01V1SKRR024-1,Betty bought a container for Lindsey for her birthday because _ wanted to thank her.,Betty,Lindsey,1,99
3JTPR5MTZSA7P2W6KTRGIMJDDKX5KQ-2,Angela loves to buy scratch offs for Cynthia whenever they get together and _ is very thankful.,Angela,Cynthia,2,99
3ZFRE2BDQBSQA5E9AYPLPIMI3XDZXV-1,"As the walls began to cave in on Joseph, he thanked Craig who had sold him the house because _ had narrowly escaped due to his advice.",Joseph,Craig,1,99
35YHTYFL1IHS1ZIE97UWY59FB3CVF9-1,Lawrence was looking for ideas for cheap meals when Aaron showed them their cookbook.  _ was very thankful.,Lawrence,Aaron,1,99
34R0BODSP1X4324WO7GDKR68Y2LE5Y-2,Donald came over to Kyle's garden and showed him the proper way to harvest garlic.  _ was thankful.,Donald,Kyle,2,99
3ZZAYRN1I857UKRI3FD7KHU8692OT3-2,"Patricia taught Mary how to eat healthy foods, and she followed it. _ felt grateful.",Patricia,Mary,2,99
