qID,sentence,option1,option2,answer,pairing,thanks_to
32CAVSKPCENM4G0ZDKT6LJFU3PV1UU-2,"Kayla cooked sticky white rice for Jennifer, and _ thanked them for making such delicate rice.",Kayla,Jennifer,2,34,0
36GJS3V78X4PO4EF32MVD2YXHBTGJS-2,Craig wrote a thank you note to Dennis because _ sent him a thoughtful gift to him.,Craig,Dennis,2,35,0
36GJS3V78X4PO4EF32MVD2YXHBTGJS-1,Craig wrote a thank you note to Dennis because _ received a thoughtful gift from him.,Craig,Dennis,1,35,0
3ZUE82NE0CFUQNM11EJM6RP70JA8F8-1,"Justin braced themself as Benjamin put the needle through the ear for the piercing, then _ gave thanks and left.",Justin,Benjamin,1,36,0
3ZUE82NE0CFUQNM11EJM6RP70JA8F8-2,"Justin braced themself as Benjamin put the needle through the ear for the piercing, then _ gave thanks and saw the next customer.",Justin,Benjamin,2,36,0
3Y7LTZE0YV0YT1KE5TEY5BNFAI7UZI-2,"Rachel wrote a formal letter to Emily to thank them for the job, because _ preferred people who were thoughtful.",Rachel,Emily,2,37,0
3Y7LTZE0YV0YT1KE5TEY5BNFAI7UZI-1,"Rachel wrote a formal letter to Emily to thank them for the job, because _ preferred to be thoughtful.",Rachel,Emily,1,37,0
3ZTE0JGGCEQBEEQ0XV6H396WP6TCOP-2,"The wool coat Brett gave to Joseph fit like a glove, so _ accepted the coat with a thank you.",Brett,Joseph,2,38,0
3ZTE0JGGCEQBEEQ0XV6H396WP6TCOP-1,"The wool coat Brett gave to Joseph fit like a glove, so _ accepted a hug as a thank you.",Brett,Joseph,1,38,0
3AFT28WXLHGHL6B793E36AS0WJHIOW-1,"Tanya loved the washer that Mary bought for her, so _ wrote a thank you note.",Tanya,Mary,1,39,0
3AFT28WXLHGHL6B793E36AS0WJHIOW-2,"Tanya loved the washer that Mary bought for her, so _ received a thank you note.",Tanya,Mary,2,39,0
3NCN4N1H1IVPGDXP2EM95YOICRJBN9-2,"Mary scrubbed the tile floor but thankfully didn't need to clean the toilet, because the _ was clean.",floor,toilet,2,40,0
3NCN4N1H1IVPGDXP2EM95YOICRJBN9-1,"Mary scrubbed the tile floor but thankfully didn't need to clean the toilet, because the _ was filthy.",floor,toilet,1,40,0
3RZS0FBRWK8TZE21CVJWS9BMZBPCP6-1,"Joseph gave wise guidance to Hunter, and thanks to _ and their help, they ended up having a really good life.",Joseph,Hunter,1,41,1
3RZS0FBRWK8TZE21CVJWS9BMZBPCP6-2,"Joseph gave wise guidance to Hunter, and thanks to _ accepting their help, they ended up having a really good life.",Joseph,Hunter,2,41,1
3SSN80MU8CMGRLGGQZABA5AX6E1XKC-2,Kayla was much more grateful for the gifts than Angela because _  didn't send out thank you notes.,Kayla,Angela,2,42,0
3SSN80MU8CMGRLGGQZABA5AX6E1XKC-1,Kayla was much more grateful for the gifts than Angela because _ sent out thank you notes.,Kayla,Angela,1,42,0
3GITHABACYJGYBYMZNHYC7X5NZFN24-1,"Brian loaned their phone to Neil because theirs broke, and _ was thanked for being so generous.",Brian,Neil,1,43,0
3GITHABACYJGYBYMZNHYC7X5NZFN24-2,"Brian loaned their phone to Neil because theirs broke, and _ thanked them for being so generous.",Brian,Neil,2,43,0
362E9TQF2HOEZ4V21MPV93VPBJQGI0-1,"Victoria dyed the hair of Jennifer a bright red, and _ was thanked for doing such a great job.",Victoria,Jennifer,1,44,0
362E9TQF2HOEZ4V21MPV93VPBJQGI0-2,"Victoria dyed the hair of Jennifer a bright red, and _ thanked them for doing such a great job.",Victoria,Jennifer,2,44,0
3IQ9O0AYW8DXYYGF5K020KYMU03IT2-2,"Natalie sat in the therapist's office and thanked Christine for the observation, because _ was a good therapist.",Natalie,Christine,2,45,0
3IQ9O0AYW8DXYYGF5K020KYMU03IT2-1,"Natalie sat in the therapist's office and thanked Christine for the observation, because _ was a grateful patient.",Natalie,Christine,1,45,0
3ZVPAMTJWN1RS3YLR9J4NVWGYKEGRJ-1,"After being treated for post traumatic shock, Christine thanked Jennifer, because _ had needed the help.",Christine,Jennifer,1,46,0
3ZVPAMTJWN1RS3YLR9J4NVWGYKEGRJ-2,"After being treated for post traumatic shock, Christine thanked Jennifer, because _ had provided the help.",Christine,Jennifer,2,46,0
362E9TQF2J4TTTU9LK1V11JY622IGW-1,"Jeff was angry that insurance cost so much money. They said he'd be grateful in an accident, but the _ was still too expensive.",insurance,accident,1,48,0
362E9TQF2J4TTTU9LK1V11JY622IGW-2,"Jeff was angry that insurance cost so much money. They said he'd be grateful in an accident, but the _ was just too damaging.",insurance,accident,2,48,0
379OL9DBSUS04JM6BWHOV8RZR3SY93-1,"Amy was grateful to Patricia for giving her some nausea medication, because _ felt really sick.",Amy,Patricia,1,49,0
379OL9DBSUS04JM6BWHOV8RZR3SY93-2,"Amy was grateful to Patricia for giving her some nausea medication, while _ felt worried about her.",Amy,Patricia,2,49,0
3BS6ERDL95LAOPPHHTRYYDQVI7WD60-1,"The booze caused his aging in the past, but the yoga made him young again, he was grateful to have given up the _ .",booze,yoga,1,50,0
3BS6ERDL95LAOPPHHTRYYDQVI7WD60-2,"The booze caused his aging in the past, but the yoga made him young again, he was grateful to have taken up the _ .",booze,yoga,2,50,0
3FCO4VKOZ4BJQ6IFC0VAIBK4KO87EP-1,Jeffrey sat at the bar and was served beer by Leslie until 2:00 AM when when the bar closed; _ was grateful for the beer.,Jeffrey,Leslie,1,51,0
3FCO4VKOZ4BJQ6IFC0VAIBK4KO87EP-2,Jeffrey sat at the bar and was served beer by Leslie until 2:00 AM when when the bar closed; _ was grateful for the tip.,Jeffrey,Leslie,2,51,0
3NKW03WTLM5NDO9LTZYM488Z121QWR-1,"After slipping on the floor, Joel gratefully accepted Nelson's hand, as _ needed help getting up.",Joel,Nelson,1,52,0
3NKW03WTLM5NDO9LTZYM488Z121QWR-2,"After slipping on the floor, Joel gratefully accepted Nelson's hand, as _ provided help getting up.",Joel,Nelson,2,52,0
3X2LT8FDHWGH7K9P75HMIHNZ2BB8WJ-1,Lawrence was more grateful for their gift than Benjamin was for theirs because _ had gotten much more.,Lawrence,Benjamin,1,53,0
3X2LT8FDHWGH7K9P75HMIHNZ2BB8WJ-2,Lawrence was more grateful for their gift than Benjamin was for theirs because _ had gotten much less.,Lawrence,Benjamin,2,53,0
